epoch,avg_auc_val,multiplication_factor
0,0.8724246811465516,100
1,0.8469306484108665,100
2,0.8399352897101773,100
3,0.8392343154665494,100
4,0.8392460504255557,100
5,0.838783699568499,100
6,0.8379474834910884,100
7,0.8369858280259382,100
8,0.8361849133077267,100
9,0.8357086803506834,100
10,0.831949240864146,200
11,0.8335439961840747,200
12,0.8347883145959631,200
13,0.8349144360302228,200
14,0.834832441958501,200
15,0.8350119612222724,200
16,0.8355053416810317,200
17,0.8362371075130731,200
18,0.8370217153081472,200
19,0.837661864100799,200
20,0.8379686421408132,300
21,0.8379367950588682,300
22,0.83767153527369,300
23,0.8372364334232844,300
24,0.8366268859088419,300
25,0.8358620874476491,300
26,0.8349502118378531,300
27,0.8339033073724105,300
28,0.8327484759316143,300
29,0.8315116609639889,300
30,0.8302991173262105,400
31,0.8292900042492903,400
32,0.8284742634121394,400
33,0.8277352231106445,400
34,0.8269602593730235,400
35,0.8260814766489079,400
36,0.8251592308904854,400
37,0.8242660799970498,400
38,0.823408417186319,400
39,0.822578802283385,400
40,0.8216777246435706,500
41,0.8206280845317151,500
42,0.8194860907444041,500
43,0.8184061250279588,500
44,0.8175010810021288,500
45,0.8168385243127864,500
46,0.8164002153086292,500
47,0.816172615854023,500
48,0.816237451879136,500
49,0.8165851877882673,500
50,0.8170807826744643,600
51,0.8175400323288329,600
52,0.8178720081428263,600
53,0.8181908540591692,600
54,0.8187140825895268,600
55,0.819498950994088,600
56,0.8204054758241165,600
57,0.8211461520903715,600
58,0.8214589271614259,600
59,0.8215518050686829,600
60,0.8217749530722154,700
61,0.8220752098493878,700
62,0.8224708542182464,700
63,0.8229977297750166,700
64,0.8234486805989402,700
65,0.8237338401027928,700
66,0.8238746324954302,700
67,0.8241541685587215,700
68,0.8246371833880947,700
69,0.8250894101440178,700
70,0.8250754456934418,800
71,0.8251213852710869,800
72,0.8250874924799853,800
73,0.8247903072793743,800
74,0.8244288509586092,800
75,0.8239213267861001,800
76,0.8231805164490684,800
77,0.8228409935048282,800
78,0.8219492420692767,800
79,0.821530070538703,800
80,0.8217567556004829,900
81,0.8211764550987628,900
82,0.8209184562253189,900
83,0.8212399428840413,900
84,0.8201811543246833,900
85,0.8193108225787482,900
86,0.8195246488972574,900
87,0.8179612872288938,900
88,0.8168250253438961,900
89,0.8162522810109023,900
90,0.8151128029336734,1000
91,0.8140872895359959,1000
92,0.8130008070759484,1000
93,0.8117056095574566,1000
94,0.8108141322891118,1000
95,0.8096641048000833,1000
96,0.8084757270432267,1000
97,0.8083052251690075,1000
98,0.8077498121201427,1000
99,0.8065253090677882,1000
